[2024.09.07-04.11.33:722][164]Log file open, 09/07/24 06:11:33
[2024.09.07-04.22.43:489][709]Failed Spawned Dino: Aberrant Manta - Lvl 110 (Location -145118.817808, -110893.696357, 36648.438645)
[2024.09.07-04.22.49:536][786]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -26245.572250, -100799.881634, 36713.022152)
[2024.09.07-04.22.49:629][787]Failed Spawned Dino: Aberrant Manta - Lvl 140 (Location -47996.669648, -120745.468341, 36734.138275)
[2024.09.07-04.22.57:739][872]Failed Spawned Dino: Aberrant Manta - Lvl 50 (Location -109557.617660, -133945.726954, 36747.280544)
[2024.09.07-04.22.57:818][873]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -125524.921140, -125561.083358, 36684.442501)
[2024.09.07-04.23.04:095][947]Failed Spawned Dino: Aberrant Manta - Lvl 120 (Location -6351.426756, -176659.425677, 36943.421525)
[2024.09.07-04.23.04:738][954]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -87849.946132, -118254.764225, 36544.125391)
[2024.09.07-04.23.11:438][ 32]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -32329.049058, -167043.243979, 36630.218242)
[2024.09.07-04.23.30:921][195]Failed Spawned Dino: Aberrant Manta - Lvl 75 (Location -16354.888365, -175019.629508, 36741.735667)
[2024.09.07-04.23.31:398][198]Failed Spawned Dino: Aberrant Manta - Lvl 65 (Location -39838.133404, -111968.660876, 36738.555339)
[2024.09.07-04.23.39:295][287]Failed Spawned Dino: Aberrant Manta - Lvl 55 (Location -132408.180665, -122460.588118, 36716.333997)
[2024.09.07-04.23.47:522][366]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -15440.644221, -91612.292628, 36914.149550)
[2024.09.07-04.23.47:802][369]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -102772.058864, -128128.329388, 36947.192934)
[2024.09.07-04.23.47:898][370]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -120865.309951, -132052.559284, 36786.538054)
[2024.09.07-04.23.54:033][442]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -4076.680229, -184798.924215, 36945.145388)
[2024.09.07-04.23.54:498][448]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -59781.754032, -119863.714340, 36614.425433)
[2024.09.07-04.23.54:591][449]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -85298.991550, -104300.841907, 36901.304154)
[2024.09.07-04.24.08:167][605]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -43381.519375, -157618.534331, 36930.790403)
[2024.09.07-04.24.15:632][690]Failed Spawned Dino: Aberrant Manta - Lvl 130 (Location -24399.088480, -176471.872105, 36944.721040)
[2024.09.07-04.24.22:741][774]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -33280.549435, -106330.191391, 36777.139958)
[2024.09.07-04.24.25:024][801]Failed Spawned Dino: Aberrant Salmon | 1.1x (Location 138141.422945, 10221.379827, 18244.874498)
[2024.09.07-04.24.30:338][864]Failed Spawned Dino: Aberrant Manta - Lvl 90 (Location -146238.216201, -113158.303660, 36943.001906)
[2024.09.07-04.24.37:694][945]Failed Spawned Dino: Aberrant Manta - Lvl 60 (Location -25197.159732, -98915.465040, 36698.908281)
[2024.09.07-04.24.38:103][949]Failed Spawned Dino: Aberrant Manta - Lvl 95 (Location -118161.916235, -133340.247580, 36740.963294)
[2024.09.07-04.24.44:585][ 23]Failed Spawned Dino: Aberrant Manta - Lvl 105 (Location -6493.853533, -182952.642948, 36938.027345)
[2024.09.07-04.24.45:279][ 30]Failed Spawned Dino: Aberrant Manta - Lvl 10 (Location -84200.979391, -104508.517064, 36670.916327)
[2024.09.07-04.24.45:366][ 31]Failed Spawned Dino: Aberrant Manta - Lvl 85 (Location -107244.193455, -131754.971559, 36674.553535)
[2024.09.07-04.25.02:006][197]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -58720.145753, -120913.492542, 36608.965488)
[2024.09.07-04.25.09:700][278]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -32769.527817, -166838.046492, 36628.656250)
[2024.09.07-04.25.11:340][279]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -43669.571456, -113279.149162, 36815.869500)
[2024.09.07-04.25.19:147][356]Failed Spawned Dino: Aberrant Manta - Lvl 145 (Location -20613.609858, -175386.903141, 36802.957005)
[2024.09.07-04.25.20:030][365]Failed Spawned Dino: Aberrant Manta - Lvl 150 (Location -144286.093963, -113447.265190, 36710.788668)
[2024.09.07-04.25.27:164][445]Failed Spawned Dino: Aberrant Manta - Lvl 70 (Location -22086.505508, -93841.478730, 36638.815304)
[2024.09.07-04.25.27:492][449]Failed Spawned Dino: Aberrant Manta - Lvl 40 (Location -125186.826402, -128899.259147, 36741.564097)
[2024.09.07-04.25.33:761][524]Failed Spawned Dino: Aberrant Manta - Lvl 30 (Location -5398.572421, -180049.643679, 36752.402774)
[2024.09.07-04.25.34:312][531]Failed Spawned Dino: Aberrant Manta - Lvl 5 (Location -85895.093736, -103691.692164, 36946.587037)
[2024.09.07-04.25.34:405][532]Failed Spawned Dino: Aberrant Manta - Lvl 35 (Location -112914.904119, -134618.318420, 36656.767517)
[2024.09.07-04.25.54:495][762]Failed Spawned Dino: Aberrant Cnidaria (Location -201415.091401, -1966.257046, 33992.343184)
[2024.09.07-04.25.55:276][773]Failed Spawned Dino: Aberrant Manta - Lvl 135 (Location -48682.414676, -120377.203446, 36779.756079)
